"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.713055417E-1,-4.456387070E-1,-1.124776250E-1,1.398003628E0,1.471617891E0
6.813245417E-1,-5.313792806E-1,-1.900204754E-1,1.491766800E0,1.594941976E0
6.913435417E-1,-5.418602320E-1,-1.760427064E-1,1.466861608E0,1.573622103E0
7.013635417E-1,-3.883780570E-1,-2.022657144E-1,1.660262505E0,1.717038299E0
7.113825417E-1,-1.704284292E-1,-3.085686797E-1,1.821730296E0,1.855521962E0
7.214015417E-1,-2.338017219E-1,-4.307082438E-1,1.810316092E0,1.875477857E0
7.314205417E-1,-7.083558239E-1,-5.977520853E-1,1.673336880E0,1.912885737E0
7.414395417E-1,-1.353571659E0,-6.023895121E-1,1.450165615E0,2.073164169E0
7.514585417E-1,-1.875069620E0,-4.228764832E-1,1.124673851E0,2.227016361E0
7.614775417E-1,-2.260959395E0,-1.040588039E-1,4.628708535E-1,2.310198053E0
7.714965417E-1,-2.476224785E0,2.465653896E-1,-9.911618907E-2,2.490443273E0
7.815155417E-1,-2.688287509E0,5.953997505E-1,-4.459075328E-1,2.789305312E0
7.915345417E-1,-2.945305674E0,7.949506027E-1,-8.589594877E-1,3.169319071E0
8.015535417E-1,-3.180115237E0,7.654975927E-1,-1.897582862E0,3.781526174E0
8.115725417E-1,-3.455450097E0,4.901364201E-1,-2.676505077E0,4.398186957E0
8.215915417E-1,-3.704671584E0,2.917947721E-1,-2.502151632E0,4.480010996E0
8.316105417E-1,-3.732281844E0,1.591050768E-1,-3.207510027E0,4.923754945E0
8.416295417E-1,-3.505925601E0,1.756263846E-1,-3.580515608E0,5.014224862E0
8.516485417E-1,-3.515384350E0,-1.555920696E-1,-3.144872898E0,4.719360292E0
8.616675417E-1,-3.157110536E0,2.824205160E-4,-2.906782463E0,4.291471928E0
8.716875417E-1,-2.939913372E0,9.285963178E-2,-2.756427745E0,4.031080185E0
8.817065417E-1,-2.449075286E0,3.224230725E-1,-2.458645424E0,3.485235101E0
8.917255417E-1,-2.036108371E0,8.881552202E-1,-2.391787190E0,3.264230837E0
9.017445417E-1,-1.738330143E0,1.171749272E0,-2.652180076E0,3.380657806E0
9.117635417E-1,-1.347562037E0,1.184590927E0,-2.550649608E0,3.118492028E0
9.217825417E-1,-1.225409755E0,9.254902768E-1,-2.157073522E0,2.647853376E0
9.318015417E-1,-1.430531542E0,4.747278374E-1,-1.936436002E0,2.453889037E0
9.418205417E-1,-1.544218371E0,-7.263996005E-3,-1.904067425E0,2.451557852E0
9.518395417E-1,-1.521092779E0,-5.528799677E-1,-1.877871314E0,2.479072442E0
9.618585417E-1,-1.515292195E0,-1.057241494E0,-1.787250581E0,2.570629233E0
9.718775417E-1,-1.457048373E0,-1.418132814E0,-1.808592187E0,2.721230666E0
9.818965417E-1,-1.229936669E0,-1.605909128E0,-1.686485952E0,2.633614095E0
9.919155417E-1,-8.454904264E-1,-1.560874457E0,-1.339386606E0,2.223766987E0
1.001934542E0,-5.019994705E-1,-1.475304549E0,-1.099910235E0,1.907440564E0
1.011953542E0,-2.509302630E-1,-1.322506279E0,-1.020469670E0,1.689185367E0
1.021972542E0,-1.924910702E-2,-1.030604503E0,-7.331917262E-1,1.264945168E0
1.031991542E0,3.327760063E-2,-8.145516390E-1,-5.519976228E-1,9.845319430E-1
1.042011542E0,-1.325351096E-1,-6.117573363E-1,-6.624386626E-1,9.113932058E-1
1.052030542E0,-2.983849496E-1,-4.102552682E-1,-9.641760403E-1,1.089485383E0
1.062049542E0,-3.245647614E-1,-2.517542088E-1,-5.925235051E-1,7.209761231E-1
1.072068542E0,-3.656698834E-1,-1.030694550E-1,-2.878514099E-1,4.766510363E-1
1.082087542E0,-5.067287716E-1,-1.852859849E-1,-6.119228125E-1,8.158152196E-1
1.092106542E0,-5.854195766E-1,-3.461019570E-1,-3.438384998E-1,7.620548269E-1
1.102125542E0,-5.505423240E-1,-4.445714074E-1,-3.192579746E-3,7.076374632E-1
1.112144542E0,-5.048363934E-1,-6.796967196E-1,-4.092173874E-2,8.476567722E-1
1.122163542E0,-4.698924825E-1,-1.062646075E0,-6.034501970E-2,1.163467725E0
1.132182542E0,-5.293884864E-1,-1.448554707E0,1.032834631E-1,1.545713551E0
1.142201542E0,-6.605824640E-1,-1.654144564E0,2.107310209E-1,1.793591646E0
1.152220542E0,-5.859039453E-1,-1.655292372E0,-2.013079405E-2,1.756041434E0
1.162239542E0,-2.478808670E-1,-1.384842276E0,-4.231385846E-1,1.469108340E0
1.172258542E0,1.297480343E-1,-8.193305683E-1,-6.298708409E-1,1.041573045E0
1.182277542E0,4.292184464E-1,-7.403042793E-2,-7.397803688E-1,8.584777068E-1
1.192296542E0,7.094109540E-1,5.257950801E-1,-7.215256539E-1,1.140317341E0
1.202317625E0,1.041689362E0,8.993672562E-1,-4.574545777E-1,1.450256143E0
1.212336625E0,1.417961198E0,9.966017747E-1,-4.948431364E-1,1.802414710E0
1.222355625E0,1.760522373E0,9.619798261E-1,-8.285761857E-1,2.170571977E0
1.232374625E0,1.986631279E0,1.064149979E0,-8.581287445E-1,2.411535602E0
1.242393625E0,2.115604046E0,1.605615013E0,-2.925544716E-1,2.671959611E0
1.252412625E0,2.458398379E0,2.566076902E0,6.358352932E-1,3.610091380E0
1.262431625E0,2.837397356E0,3.425583689E0,1.356571281E0,4.650347622E0
1.272450625E0,3.131708185E0,4.146990936E0,1.327151307E0,5.363437384E0
1.282469625E0,3.305468138E0,4.733367264E0,1.013238857E0,5.861530367E0
1.292488625E0,3.240636550E0,4.749478682E0,7.488872610E-1,5.798284671E0
1.302507625E0,2.752101974E0,3.831805547E0,4.547921942E-1,4.739581730E0
1.312526625E0,2.130989093E0,2.475933301E0,1.337677757E-1,3.269442467E0
1.322545625E0,1.740815210E0,1.088703607E0,-2.363120046E-1,2.066774420E0
1.332564625E0,1.509434747E0,-2.659611887E-1,-6.359164234E-1,1.659372866E0
1.342583625E0,1.367857430E0,-1.380091998E0,-9.530588754E-1,2.164257169E0
1.352602625E0,1.363963038E0,-2.097157103E0,-1.114257255E0,2.738618688E0
1.362622625E0,1.467049743E0,-2.482267005E0,-1.060951114E0,3.072377207E0
1.372641625E0,1.599475144E0,-2.686190405E0,-9.255863173E-1,3.260467706E0
